"Rank","Team","Wins","Losses","Rating","City","State"
1,"Surly",6,0,0.25185026711795,"Minneapolis","MN"
2,"Johnny Walker",15,2,0.249859189208255,"Denver/Boulder","CO"
3,"No Country",15,2,0.102971977049428,"Brattleboro","VT"
4,"Shadows",9,2,0.0823648624246315,"Oakland","CA"
5,"Endless Sunset",10,8,0.0670654658918975,"San Diego","CA"
6,"Reckon",9,3,0.0387903952087745,"GA/TN/etc","GA"
7,"ShutDown",5,2,0.0225129129274057,"Washington","DC"
8,"Kalakala",9,7,0.0195813691261652,"Seattle","WA"
9,"Hootenanny",11,9,0.0183297900546557,"Raleigh","NC"
10,"Old Man Winter",7,4,0.0143494952579805,"chicago","IL"
11,"Bighorn",7,5,0.0115360684298637,"Boulder","CO"
12,"projectile dysfunction team HELM",6,5,0.00976058679989819,"columbus","OH"
13,"Critical Mass",3,8,0.00379370161058811,"Northampton","MA"
14,"GrandMaster Flash",8,13,0.00254901628677824,"Orlando","FL"
15,"Sick Hammers",3,7,0.00198753358381453,"Austin","TX"
16,"DinoSlam",1,1,0.00174966184547424,"Portland","OR"
17,"Moscow State",2,3,0.00160462203895564,"New York","NY"
18,"Age Against the Machine",2,3,0.00147960373276939,"Cincinnati","OH"
19,"Borderline",4,4,0.00137180977526104,"Maritimes","Nova Scotia"
20,"Rust",2,4,0.000754891744548767,"Birmingham","AL"
21,"Goatswitcher",0,5,0.000704997132253455,"Montgomery","AL"
22,"Old Growth (OG)",2,10,0.000369768107915973,"Silicon Valley","CA"
23,"Brooklyn",0,4,0.000153762271127242,"Brooklyn, USA","NY"
24,"Grandmasters of the Universe",1,5,2.07685909419391e-06,"Winnipeg","Manitoba"
25,"Big D N R",0,4,0,"Dallas","TX"
25,"Cal Grand Masters",0,5,0,"San Diego","CA"
25,"Legion",0,2,0,"Vancouver","British Columbia"
25,"Rust Belt",0,4,0,"Greater Detroit","MI"
