"Rank","Team","Wins","Losses","Rating","City","State"
1,"Surly",6,0,0.431169041427013,"Minneapolis","MN"
2,"Johnny Walker",15,2,0.427980299964734,"Denver/Boulder","CO"
3,"No Country",15,2,0.17644965912265,"Brattleboro","VT"
4,"Shadows",9,2,0.141078227710669,"Oakland","CA"
5,"Endless Sunset",10,8,0.11477754947167,"San Diego","CA"
6,"Reckon",9,3,0.0667542167151771,"GA/TN/etc","GA"
7,"ShutDown",5,2,0.0387063490032563,"Washington","DC"
8,"Kalakala",9,7,0.0335372476345174,"Seattle","WA"
9,"Hootenanny",11,9,0.031498619347337,"Raleigh","NC"
10,"Old Man Winter",7,4,0.024565862676594,"chicago","IL"
11,"Bighorn",7,5,0.0198165521032567,"Boulder","CO"
12,"projectile dysfunction team HELM",6,5,0.0167089104776832,"columbus","OH"
13,"Critical Mass",3,8,0.00649951148157806,"Northampton","MA"
14,"GrandMaster Flash",8,13,0.00496025116758119,"Orlando","FL"
15,"Sick Hammers",3,7,0.00345547298075944,"Austin","TX"
16,"DinoSlam",1,1,0.00299567630032254,"Portland","OR"
17,"Moscow State",2,3,0.0027488680978138,"New York","NY"
18,"Age Against the Machine",2,3,0.00253235475093158,"Cincinnati","OH"
19,"Borderline",4,4,0.0023487411483078,"Maritimes","Nova Scotia"
20,"Rust",2,4,0.0013266271198342,"Birmingham","AL"
21,"Goatswitcher",0,5,0.00123666409056511,"Montgomery","AL"
22,"Old Growth (OG)",2,10,0.00065200213471625,"Silicon Valley","CA"
23,"Brooklyn",0,4,0.000263390074774025,"Brooklyn, USA","NY"
24,"Grandmasters of the Universe",1,5,2.95202348426727e-06,"Winnipeg","Manitoba"
25,"Big D N R",0,4,0,"Dallas","TX"
25,"Cal Grand Masters",0,5,0,"San Diego","CA"
25,"Legion",0,2,0,"Vancouver","British Columbia"
25,"Rust Belt",0,4,0,"Greater Detroit","MI"
