"Rank","Team","Wins","Losses","Rating","City","State"
1,"Johnny Encore",14,2,0.949418944484108,"Denver","CO"
2,"Rest Stop",6,2,0.278733007411811,"Baltimore","MD"
3,"Voltron 2020",6,2,0.274229279997053,"Seattle","WA"
4,"Boneyard",6,1,0.265348313063355,"Raleigh-Durham","NC"
5,"Black Cans & Highlands",5,4,0.166650133032232,"Washington","DC"
6,"All Bashed Out",6,3,0.121921977196524,"Albany ""Cap City Bang Bang""","NY"
7,"Surly",11,2,0.116416723705247,"MINNEAPOLIS","MN"
8,"Crawl",6,3,0.0279722933546415,"Phoenix","AZ"
9,"Horse",1,1,0.0097128445170344,"New York","NY"
10,"Pacemaker",9,3,0.00409018787482637,"Chicago","IL"
11,"Gravy Train Wreck",1,6,0.00407871848186143,"Seattle","WA"
12,"Get Off My Lawn",0,2,0.00255600926275532,"Burlington","VT"
13,"Beyondors",1,1,0.00174049511829546,"Santa Barbara","CA"
14,"Surly Cynic",9,6,0.000680484336042743,"Minneapolis","MN"
15,"Naptown",6,6,0.000381596467267344,"Indianapolis","IN"
16,"s.u.r.l.y. BURNSIDE",0,2,0.000327012822403785,"Gresham","OR"
17,"Geronimo",7,6,0.000268636858293954,"Dallas/Fort Worth","TX"
18,"Young OG's",0,2,0.00024864194435164,"San Diego","CA"
19,"(burnside) TIPP CITY",2,5,0.00020823597723743,"Portland","OR"
20,"Royal Stag",5,8,0.000104960880600445,"Madison","WI"
21,"Winnipeg",4,4,5.79660473751733e-05,"Winnipeg","Manitoba"
22,"Outlaw",4,9,4.36070888936083e-05,"Fayetteville","AR"
23,"Polar Vortex",2,9,2.70969055423079e-05,"Chicago","IL"
24,"Xtra Surly",0,6,2.22599158786414e-05,"Minneapolis","MN"
25,"FoG",0,5,1.11970591179361e-06,"Cincinnati","OH"
26,"Clippers",0,2,0,"Baltimore","MD"
26,"curmudgeon",2,4,0,"Houston","TX"
26,"HOV Violators",1,1,0,"Arlington","VA"
26,"Mr Miyagi",0,5,0,"Arlington","TX"
26,"Woolly Mammoth",0,1,0,"Gainesville","FL"
