"Rank","Team","Wins","Losses","Rating","City","State"
1,"Surly",6,0,5.69645603581965,"Minneapolis","MN"
2,"Johnny Walker",15,2,5.64661268272554,"Denver/Boulder","CO"
3,"No Country",15,2,2.32554354318135,"Brattleboro","VT"
4,"Shadows",9,2,1.86145222042157,"Oakland","CA"
5,"Endless Sunset",10,8,1.51776486959426,"San Diego","CA"
6,"Reckon",9,3,0.869840065822402,"GA/TN/etc","GA"
7,"ShutDown",5,2,0.505619389164818,"Washington","DC"
8,"Kalakala",9,7,0.442597147262675,"Seattle","WA"
9,"Hootenanny",11,9,0.412013508761526,"Raleigh","NC"
10,"Old Man Winter",7,4,0.324574950175969,"chicago","IL"
11,"Bighorn",7,5,0.259468930346896,"Boulder","CO"
12,"projectile dysfunction team HELM",6,5,0.220796742777006,"columbus","OH"
13,"Critical Mass",3,8,0.0857054108299811,"Northampton","MA"
14,"GrandMaster Flash",8,13,0.0446192804852683,"Orlando","FL"
15,"Sick Hammers",3,7,0.0438006267613113,"Austin","TX"
16,"DinoSlam",1,1,0.0395692128651211,"Portland","OR"
17,"Moscow State",2,3,0.0362558565270861,"New York","NY"
18,"Age Against the Machine",2,3,0.0334823595916359,"Cincinnati","OH"
19,"Borderline",4,4,0.0310239090269591,"Maritimes","Nova Scotia"
20,"Rust",2,4,0.0163258321233892,"Birmingham","AL"
21,"Goatswitcher",0,5,0.0152966035747639,"Montgomery","AL"
22,"Old Growth (OG)",2,10,0.00794918441443582,"Silicon Valley","CA"
23,"Brooklyn",0,4,0.0034746210435612,"Brooklyn, USA","NY"
24,"Grandmasters of the Universe",1,5,3.96071140399621e-06,"Winnipeg","Manitoba"
25,"Big D N R",0,4,0,"Dallas","TX"
25,"Cal Grand Masters",0,5,0,"San Diego","CA"
25,"Legion",0,2,0,"Vancouver","British Columbia"
25,"Rust Belt",0,4,0,"Greater Detroit","MI"
